"Articulo","Nombre","Bulto","Sabores","Imagen","Stock"
"2","ACEITE DE OLIVA X 5 L R.V.","","","","1"
"3","ACEITE DE OLIVA X 3 L R.V.","","","","2"
"4","ACEITE DE OLIVA X  500 CC R.V.","","","","9"
"5","ACEITE DE OLIVA X  900 CC R.V.","","","","13"
"6","ACEITE DE OLIVA  PANNOCCHIA X1L","","","","0"
"7","ACEITE DE OLIVA  X1 L VID. LAUR","","","","9"
"8","ACEITE DE OLIVA  PANNOCCHIA X 500ML","","","","0"
"9","ACEITE DE OLIVA  PANNOCCHIA X5L","","","","2"
"16","ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""","","","","3"
"17","ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""","","","","6"
"18","VINAGRE DE ALCOHOL X 1 L","","","","5"
"19","VINAGRE DE MANZANA X 1 L","","","","4"
"20","VINAGRE DE VINO X 1 L","","","","6"
"23","ACEITUNAS GRIEGAS X 1 KG","","","","5"
"24","ACEITUNAS GRIEGAS X 1/2 KG","","","","3"
"33","ACEITUNAS RELL. X 200 GR","","","","9"
"38","ACEITUNAS VERDES X 1 KG Nº 00","","","","2"
"39","ACEITUNAS VERDES X 1 KG Nº0","","","","3"
"40","ACEITUNAS VERDES X 1 KG Nº1","","","","5"
"44","ACEITUNAS VERDES X 1/2 KG Nº 00","","","","3"
"45","ACEITUNAS VERDES X 1/2 KG Nº 1","","","","3"
"46","ACEITUNAS VERDES X 1/2 KG Nº0","","","","3"
"52","BARRA PROTEICA  ""INTEGRA""","","","","0"
"55","FIDEOS DE ARROZ VERDURA ""PARTY BECK"" X280GR","","","","9"
"56","ARROZ INTEGRAL X KG.","","","","3"
"57","ARROZ YAMANI X KG.","","","","6"
"58","CUSCUS X KG","","","","4"
"59","GARBANZOS X KG","","","","2"
"60","LENTEJAS TURCAS X KG","","","","4"
"61","LENTEJAS X KG.","","","","5"
"63","MAIZ BCO PISADO PARTIDO X KG","","","","7"
"65","POROTO ALUBIA KG","","","","8"
"66","POROTO COLORADO X KG.","","","","4"
"67","POROTO MANTECA X KG.","","","","1"
"68","POROTO MUNG X KG","","","","2"
"69","POROTO NEGRO X KG.","","","","6"
"70","POROTOS DE SOJA X KG","","","","3"
"71","POROTOS PALLARES X KG","","","","5"
"72","TRIGO BURGOL X KG","","","","5"
"75","AZUCAR IMPALPABLE X KG.","","","","6"
"76","AZUCAR MASCABO X KG","","","","8"
"77","AZUCAR NEGRA X KG.","","","","2"
"78","CACAO AMARGO DE BRASIL X KG.","","","","2"
"79","CASCARILLA DE CACAO X KG.","","","","4"
"80","COCO EN ESCAMAS X KG","","","","4"
"81","COCO RALLADO X KG.","","","","1"
"83","ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS""","","","","7"
"84","LEVADURA DE CERVEZA NUTRICIONAL X KG","","","","3"
"85","MANTEQUILLA DE MANI ""ENTRENUTS"" X 370 g","","","","9"
"86","POLVO PARA HORNEAR X 50 GR","","","","0"
"94","JUGO DE ARANDANOS X 1,5 LTS.","","","","10"
"99","LECHE DE ALMENDRAS X 1 L","","","","5"
"105","LECHE DE COCO EN POLVO X KG","","","","5"
"107","CARAMELOS  X  UNIDAD","","","","0"
"113","ALMOHADITAS 2 SALVADO X KG.","","","","3"
"114","ALMOHADITAS CHOCOLATE X KG.","","","","4"
"116","ALMOHADITAS FRUTILLA X KG.","","","","4"
"117","ALMOHADITAS LIMON X KG.","","","","4"
"118","ANILLOS DE AVENA Y MIEL X KG.","","","","2"
"119","ANILLOS FRUTADOS X KG.","","","","6"
"120","AVENA ARROLLADA GRUESA X KG","","","","9"
"121","AVENA INSTANTÁNEA  X KG","","","","1"
"122","AVENA TRADICIONAL X KG.","","","","8"
"123","BASTONCITO SALVADO TRIGO Y AVENA X KG.","","","","3"
"124","BOLITAS DE CHOCOLATE X KG.","","","","3"
"125","COPOS DE MAIZ C/AZUCAR X KG","","","","5"
"126","COPOS DE MAIZ X KG.","","","","2"
"127","GRANOLA MIX BERRIES X KG","","","","6"
"128","GRANOLA MIX ENERGET X KG","","","","5"
"129","GRANOLA MIX TROPICAL X KG","","","","5"
"130","GRANOLA CON MIEL X KG","","","","15"
"131","QUINOA INFLADA X KG.","","","","4"
"132","TUTUCAS CON AZUCAR X KG","","","","9"
