"nombre","cantidades","info","sabores","imagen","mix","Artículo","Estado","Stock"
"ACEITE DE OLIVA X 5 L R.V.","1 UNIDAD","","","","","2","🟢 ok","0"
"ACEITE DE OLIVA X 3 L R.V.","1 UNIDAD","","","","","3","🟢 ok","1"
"ACEITE DE OLIVA X  500 CC R.V.","1 UNIDAD","","","","","4","🟢 ok","8"
"ACEITE DE OLIVA X  900 CC R.V.","1 UNIDAD","","","","","5","🟢 ok","9"
"ACEITE DE OLIVA  PANNOCCHIA X1L","1 UNIDAD","","","","","6","🟢 ok","0"
"ACEITE DE OLIVA  X1 L VID. LAUR","1 UNIDAD","","","","","7","🟢 ok","8"
"ACEITE DE OLIVA  PANNOCCHIA X 500ML","1 UNIDAD","","","","","8","🟢 ok","0"
"ACEITE DE OLIVA  PANNOCCHIA X5L","1 UNIDAD","","","","","9","🟢 ok","0"
"ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""","1 UNIDAD","","","","","16","🟢 ok","0"
"ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""","1 UNIDAD","","","","","17","🟢 ok","5"
"VINAGRE DE ALCOHOL X 1 L","1 UNIDAD","","","","","18","🟢 ok","3"
"VINAGRE DE MANZANA X 1 L","1 UNIDAD","","","","","19","🟢 ok","2"
"VINAGRE DE VINO X 1 L","1 UNIDAD","","","","","20","🟢 ok","0"
"ACEITUNAS GRIEGAS X 1 KG","1 UNIDAD","","","","","23","🟢 ok","7"
"ACEITUNAS GRIEGAS X 1/2 KG","1 UNIDAD","","","","","24","🟢 ok","3"
"ACEITUNAS RELL. X 200 GR","1 UNIDAD","","","","","33","🟢 ok","7"
"ACEITUNAS VERDES X 1 KG Nº 00","1 UNIDAD","","","","","38","🟢 ok","1"
"ACEITUNAS VERDES X 1 KG Nº0","1 UNIDAD","","","","","39","🟢 ok","2"
"ACEITUNAS VERDES X 1 KG Nº1","1 UNIDAD","","","","","40","🟢 ok","2"
"ACEITUNAS VERDES X 1/2 KG Nº 00","1 UNIDAD","","","","","44","🟢 ok","1"
"ACEITUNAS VERDES X 1/2 KG Nº 1","1 UNIDAD","","","","","45","🟢 ok","2"
"ACEITUNAS VERDES X 1/2 KG Nº0","1 UNIDAD","","","","","46","🟢 ok","3"
"BARRA PROTEICA  ""INTEGRA""","1 UNIDAD","","","","","52","🟢 ok","0"
"FIDEOS DE ARROZ VERDURA ""PARTY BECK"" X280GR","1 UNIDAD","","","","","55","🟢 ok","0"
"ARROZ INTEGRAL X KG.","1 UNIDAD","","","","","56","🟢 ok","0"
"ARROZ YAMANI X KG.","1 UNIDAD","","","","","57","🟢 ok","4"
"CUSCUS X KG","1 UNIDAD","","","","","58","🟢 ok","3"
"GARBANZOS X KG","1 UNIDAD","","","","","59","🟢 ok","2"
"LENTEJAS TURCAS X KG","1 UNIDAD","","","","","60","🟢 ok","6"
"LENTEJAS X KG.","1 UNIDAD","","","","","61","🟢 ok","5"
"MAIZ BCO PISADO PARTIDO X KG","1 UNIDAD","","","","","63","🟢 ok","7"
"POROTO ALUBIA KG","1 UNIDAD","","","","","65","🟢 ok","0"
"POROTO COLORADO X KG.","1 UNIDAD","","","","","66","🟢 ok","2"
"POROTO MANTECA X KG.","1 UNIDAD","","","","","67","🟢 ok","0"
"POROTO MUNG X KG","1 UNIDAD","","","","","68","🟢 ok","2"
"POROTO NEGRO X KG.","1 UNIDAD","","","","","69","🟢 ok","6"
"POROTOS DE SOJA X KG","1 UNIDAD","","","","","70","🟢 ok","4"
"POROTOS PALLARES X KG","1 UNIDAD","","","","","71","🟢 ok","3"
"TRIGO BURGOL X KG","1 UNIDAD","","","","","72","🟢 ok","4"
"AZUCAR IMPALPABLE X KG.","1 UNIDAD","","","","","75","🟢 ok","4"
"AZUCAR MASCABO X KG","1 UNIDAD","","","","","76","🟢 ok","4"
"AZUCAR NEGRA X KG.","1 UNIDAD","","","","","77","🟢 ok","1"
"CACAO AMARGO DE BRASIL X KG.","1 UNIDAD","","","","","78","🟢 ok","0"
"CASCARILLA DE CACAO X KG.","1 UNIDAD","","","","","79","🟢 ok","4"
"COCO EN ESCAMAS X KG","1 UNIDAD","","","","","80","🟢 ok","2"
"COCO RALLADO X KG.","1 UNIDAD","","","","","81","🟢 ok","0"
"ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS""","1 UNIDAD","","","","","83","🟢 ok","7"
"LEVADURA DE CERVEZA NUTRICIONAL X KG","1 UNIDAD","","","","","84","🟢 ok","0"
"MANTEQUILLA DE MANI ""ENTRENUTS"" X 370 g","1 UNIDAD","","","","","85","🟢 ok","3"
"POLVO PARA HORNEAR X 50 GR","1 UNIDAD","","","","","86","🟢 ok","0"
"JUGO DE ARANDANOS X 1,5 LTS.","1 UNIDAD","","","","","94","🟢 ok","9"
"LECHE DE ALMENDRAS X 1 L","1 UNIDAD","","","","","99","🟢 ok","5"
