"Rubro","Artículo","Nombre","Bt.LISTA 2","Stock"
"ACEITES Y VINAGRES","2","ACEITE DE OLIVA X 5 L R.V.","69.809,92","0"
"ACEITES Y VINAGRES","3","ACEITE DE OLIVA X 3 L R.V.","42.297,52","1"
"ACEITES Y VINAGRES","4","ACEITE DE OLIVA X  500 CC R.V.","8.809,92","8"
"ACEITES Y VINAGRES","5","ACEITE DE OLIVA X  900 CC R.V.","14.611,57","9"
"ACEITES Y VINAGRES","6","ACEITE DE OLIVA  PANNOCCHIA X1L","16.388,43","0"
"ACEITES Y VINAGRES","7","ACEITE DE OLIVA  X1 L VID. LAUR","20.214,88","8"
"ACEITES Y VINAGRES","8","ACEITE DE OLIVA  PANNOCCHIA X 500ML","9.942,15","0"
"ACEITES Y VINAGRES","9","ACEITE DE OLIVA  PANNOCCHIA X5L","77.743,80","0"
"ACEITES Y VINAGRES","16","ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""","3.785,12","0"
"ACEITES Y VINAGRES","17","ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""","6.859,50","5"
"ACEITES Y VINAGRES","18","VINAGRE DE ALCOHOL X 1 L","1.107,44","3"
"ACEITES Y VINAGRES","19","VINAGRE DE MANZANA X 1 L","2.148,76","2"
"ACEITES Y VINAGRES","20","VINAGRE DE VINO X 1 L","1.338,84","0"
"ACEITUNAS","23","ACEITUNAS GRIEGAS X 1 KG","10.512,40","7"
"ACEITUNAS","24","ACEITUNAS GRIEGAS X 1/2 KG","7.280,99","3"
"ACEITUNAS","33","ACEITUNAS RELL. X 200 GR","3.479,34","7"
"ACEITUNAS","38","ACEITUNAS VERDES X 1 KG Nº 00","9.322,31","1"
"ACEITUNAS","39","ACEITUNAS VERDES X 1 KG Nº0","8.347,11","2"
"ACEITUNAS","40","ACEITUNAS VERDES X 1 KG Nº1","7.280,99","2"
"ACEITUNAS","44","ACEITUNAS VERDES X 1/2 KG Nº 00","6.082,65","1"
"ACEITUNAS","45","ACEITUNAS VERDES X 1/2 KG Nº 1","4.123,97","2"
"ACEITUNAS","46","ACEITUNAS VERDES X 1/2 KG Nº0","4.842,98","3"
"SNACK","52","BARRA PROTEICA  ""INTEGRA""","2.214,88","0"
"PRODUCTOS SIN TACC","55","FIDEOS DE ARROZ VERDURA ""PARTY BECK"" X280GR","2.983,47","0"
"GRANOS Y LEGUMBRES","56","ARROZ INTEGRAL X KG.","2.132,23","0"
"GRANOS Y LEGUMBRES","57","ARROZ YAMANI X KG.","2.958,68","4"
"GRANOS Y LEGUMBRES","58","CUSCUS X KG","10.545,45","3"
"GRANOS Y LEGUMBRES","59","GARBANZOS X KG","2.446,28","2"
"GRANOS Y LEGUMBRES","60","LENTEJAS TURCAS X KG","4.206,61","6"
"GRANOS Y LEGUMBRES","61","LENTEJAS X KG.","3.685,95","5"
"GRANOS Y LEGUMBRES","63","MAIZ BCO PISADO PARTIDO X KG","2.826,45","7"
"GRANOS Y LEGUMBRES","65","POROTO ALUBIA KG","3.545,45","0"
"GRANOS Y LEGUMBRES","66","POROTO COLORADO X KG.","3.735,54","2"
"GRANOS Y LEGUMBRES","67","POROTO MANTECA X KG.","4.338,84","0"
"GRANOS Y LEGUMBRES","68","POROTO MUNG X KG","2.578,51","2"
"GRANOS Y LEGUMBRES","69","POROTO NEGRO X KG.","2.595,04","6"
"GRANOS Y LEGUMBRES","70","POROTOS DE SOJA X KG","2.264,46","4"
"GRANOS Y LEGUMBRES","71","POROTOS PALLARES X KG","6.900,83","3"
"GRANOS Y LEGUMBRES","72","TRIGO BURGOL X KG","3.528,93","4"
"AZUCAR, CACAO Y REPOSTERIA","75","AZUCAR IMPALPABLE X KG.","2.644,63","4"
"AZUCAR, CACAO Y REPOSTERIA","76","AZUCAR MASCABO X KG","5.123,97","4"
"AZUCAR, CACAO Y REPOSTERIA","77","AZUCAR NEGRA X KG.","2.619,84","1"
"AZUCAR, CACAO Y REPOSTERIA","78","CACAO AMARGO DE BRASIL X KG.","25.842,97","0"
"AZUCAR, CACAO Y REPOSTERIA","79","CASCARILLA DE CACAO X KG.","5.297,52","4"
"AZUCAR, CACAO Y REPOSTERIA","80","COCO EN ESCAMAS X KG","17.950,41","2"
"AZUCAR, CACAO Y REPOSTERIA","81","COCO RALLADO X KG.","10.520,66","0"
"AZUCAR, CACAO Y REPOSTERIA","83","ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS""","892,56","7"
"ESPECIAS","84","LEVADURA DE CERVEZA NUTRICIONAL X KG","8.479,34","0"
"MANTECAS Y PASTAS","85","MANTEQUILLA DE MANI ""ENTRENUTS"" X 370 g","3.256,20","2"
"AZUCAR, CACAO Y REPOSTERIA","86","POLVO PARA HORNEAR X 50 GR","347,11","0"
"BEBIDAS","94","JUGO DE ARANDANOS X 1,5 LTS.","2.876,03","7"
